number,name_full,name,suffix,canonization,birth,start,end,start_age,end_age,tenure_years,cardinalate,years_as_cardinal,canonization,Personal Name,Place of Birth,Modern-day country of birth,Comments
78,Donus,Donus,1,,0610-06-30,0676-11-02,0678-04-11,66.34,67.781,1.441,0675-06-30,1.34,,NA,"Rome, Byzantine Empire",Italy,NA
79,Agatho,Agatho,1,,0577-06-30,0678-06-27,0681-01-10,100.992,103.529,2.537,0676-06-30,1.992,,NA,Sicily,Italy,of Greek ethnicity.
80,Leo II,Leo,2,,0611-06-30,0682-08-17,0683-07-03,71.131,72.009,0.878,0680-06-30,2.131,,NA,Sicily,Italy,of Greek ethnicity.
81,Benedict II,Benedict,2,,0635-06-30,0684-06-26,0685-05-08,48.989,49.856,0.867,0681-06-30,2.989,,NA,"Rome, Byzantine Empire",Italy,NA
82,John V,John,5,,0635-06-30,0685-07-23,0686-08-02,50.064,51.09,1.026,0680-06-30,5.064,,NA,"Antiochia, Syria",Syria or Turkey,of Syrian or Greek ethnicity. 
83,Conon,Conon,1,,0630-06-30,0686-10-21,0687-09-21,56.309,57.225,0.917,0683-06-30,3.309,,NA,Thracia,"Turkey, Greece or Bulgaria",of Greek ethnicity. 
84,Sergius I,Sergius,1,,0650-06-30,0687-12-15,0701-09-08,37.459,51.19,13.731,0683-06-30,4.459,,NA,"Sicily or Antiochia, Syria","Italy or Syria, Turkey",Hellenized Syrian
85,John VI,John,6,,0650-06-30,0701-10-30,0705-01-11,51.333,54.531,3.198,0700-06-30,1.333,,NA,"Ephesus, Eastern Roman Empire",Turkey,of Greek ethnicity. The only pope who came from Asia Minor. 
86,John VII,John,7,,0655-06-30,0705-03-01,0707-10-18,49.671,52.301,2.63,Unknown,Unknown,,NA,Calabria,Italy,of Greek ethnicity. The second pope to bear the same name as his immediate predecessor. 
87,Sisinnius,Sisinnius,1,,0650-06-30,0708-01-15,0708-02-04,57.542,57.595,0.053,0706-06-30,1.542,,NA,"Syria, Rashidun Caliphate",Syria,Born as subject of the Rashidun Caliphate. Was Syrian.
88,Constantine,Constantine,1,,0664-06-30,0708-03-25,0715-04-09,43.736,50.776,7.04,0707-06-30,0.736,,NA,Syria,Syria,Last pope to visit Greece until John Paul II in 2001
89,Gregory II,Gregory,2,,0669-06-30,0715-05-19,0731-02-11,45.887,61.615,15.728,Unknown,Unknown,,NA,"Rome, Byzantine Empire",Italy,NA
90,Gregory III,Gregory,3,,0669-06-30,0731-03-18,0741-11-28,61.717,72.411,10.694,0726-06-30,4.717,,NA,"Syria, Umayyad Caliphate",Syria,Born as subject of the Umayyad Caliphate; the last pope from Syria. The third pope to come from a Muslim country. The third pope to bear the same name as his immediate predecessor. Last pope to have been born outside Europe until the election of Francis in 2013. 
91,Zachary,Zachary,1,,0679-06-30,0741-12-03,0752-03-22,62.426,72.728,10.302,0732-04-12,9.642,,NA,Calabria,Italy,of Greek ethnicity.
92,Stephen II,Stephen,2,,0714-06-30,0752-03-26,0757-04-26,37.739,42.822,5.083,0749-06-30,2.739,,NA,Rome,Italy,later the sovereign of the independent Papal States. Sometimes called Stephen III. The Donation of Pepin. Brother of Paul I. 
93,Paul I,Paul,1,,0700-06-30,0757-05-29,0767-06-28,56.914,66.995,10.081,0749-06-30,7.914,,NA,Rome,Italy,Brother of Stephen II.
94,Stephen III,Stephen,3,,0723-06-30,0768-08-07,0772-01-24,45.104,48.567,3.463,0761-06-02,7.18,,NA,Sicily,Italy,"of Greek ethnicity. A decree issued in the session of April 13, 769 of the Roman Council convoked by Pope Stephen III (IV) in the Lateran basilica mandated that all future popes had to be either deacon or presbyter cardinalis and that laymen could not vote in papal elections. The word cardinalis, then an adjective, appears for the first time in the Liber Pontificalis in the biography of this pope."
95,Adrian I,Adrian,1,,0700-06-30,0772-02-01,0795-12-26,71.587,95.489,23.902,0769-06-30,2.587,,NA,Rome,Italy,NA
96,Leo III,Leo,3,,0750-06-30,0795-12-26,0816-06-12,45.489,65.951,20.462,Unknown,Unknown,,NA,Rome,Italy,"He was included in the catalogue of saints in 1673 by Pope Clement X because of the presumed miracle of the restoration of his eyes and tongue, even though the sources say that it was only an attempt to remove them. His feast, celebrated on February 11 and on May 14 pro clero Romano, has been suppressed."
97,Stephen IV,Stephen,4,,0770-06-30,0816-06-22,0817-01-24,45.978,46.567,0.589,0815-06-30,0.978,,NA,"Rome, Papal States",Italy,NA
98,Paschal I,Paschal,1,,0775-06-30,0817-01-25,0824-02-11,41.57,48.615,7.045,0796-06-30,20.57,,NA,Rome,Italy,NA
99,Eugene II,Eugene,2,,0780-06-30,0824-05-08,0827-08-27,43.856,47.158,3.302,0816-06-30,7.856,,NA,Rome,Italy,NA
100,Valentine,Valentine,1,,0780-06-30,0827-08-31,0827-10-10,47.169,47.279,0.109,0820-06-30,7.169,,NA,Rome,Italy,NA
101,Gregory IV,Gregory,4,,0790-06-30,0827-12-20,0844-01-25,37.473,53.57,16.097,0797-06-30,30.473,,NA,Rome,Italy,NA
102,Sergius II,Sergius,2,,0790-06-30,0844-01-25,0847-01-27,53.57,56.575,3.005,Unknown,Unknown,,NA,Rome,Italy,NA
103,Leo IV,Leo,4,,0790-06-30,0847-04-10,0855-07-17,56.779,65.048,8.269,0844-06-30,2.779,,NA,Rome,Italy,NA
104,Benedict III,Benedict,3,,0810-06-30,0855-09-29,0858-04-17,45.247,47.798,2.55,0853-06-30,2.247,,NA,Rome,Italy,NA
105,Nicholas I,Nicholas,1,,0800-06-30,0858-04-24,0867-11-13,57.817,67.37,9.553,0853-06-30,4.817,,NA,Rome,Italy,NA
106,Adrian II,Adrian,2,,0792-06-30,0867-12-14,0872-12-14,75.456,80.456,5,0842-06-30,25.456,,NA,Rome,Italy,NA
107,John VIII,John,8,,0820-06-30,0872-12-14,0882-12-16,52.456,62.462,10.005,0867-06-30,5.456,,NA,Rome,Italy,First pope to be assassinated. 
108,Marinus I,Marinus,1,,0830-06-30,0882-12-16,0884-05-15,52.462,53.876,1.414,0880-06-30,2.462,,NA,"Gallese, Papal States",Italy,Erroneously also known as Martin II. 
