number,name_full,name,suffix,canonization,birth,start,end,age_start,age_end,tenure,Personal Name,Place of Birth,Modern-day country of birth,Comments
39,Anastasius I,Anastasius,1,Saint,0340-06-30T00:00:00Z,0399-11-27T00:00:00Z,0401-12-19T00:00:00Z,59.4086242299795,61.4702258726899,2.06027397260274,,Rome,Italy,
40,Innocent I,Innocent,1,Saint,0378-06-30T00:00:00Z,0401-12-21T00:00:00Z,0417-03-12T00:00:00Z,23.4770704996578,38.6995208761123,15.2219178082192,,Albano Laziale or Albania,Italy or Albania,
41,Zosimus,Zosimus,1,Saint,0370-06-30T00:00:00Z,0417-03-18T00:00:00Z,0418-12-26T00:00:00Z,46.7159479808351,48.4900752908967,1.77534246575342,,Calabria,Italy,of Greek descent. 
42,Boniface I,Boniface,1,Saint,0377-06-30T00:00:00Z,0418-12-28T00:00:00Z,0422-09-04T00:00:00Z,41.4948665297741,45.1800136892539,3.68493150684932,,Rome,Italy,
43,Celestine I,Celestine,1,Saint,0380-06-30T00:00:00Z,0422-09-10T00:00:00Z,0432-07-27T00:00:00Z,42.1957563312799,52.0739219712526,9.87704918032787,,"Campania, Western Roman Empire",Italy,
44,Sixtus III,Sixtus,3,Saint,0390-06-30T00:00:00Z,0432-07-31T00:00:00Z,0440-08-18T00:00:00Z,42.0862422997947,50.135523613963,8.04931506849315,,Rome,Italy,
45,Leo I,Leo,1,Saint,0390-06-30T00:00:00Z,0440-09-29T00:00:00Z,0461-11-10T00:00:00Z,50.2505133470226,71.3648186173854,21.1150684931507,,Etruria,Italy,
46,Hilary,Hilary,1,Saint,0400-06-30T00:00:00Z,0461-11-19T00:00:00Z,0468-02-29T00:00:00Z,61.388090349076,67.6659822039699,6.27868852459016,,"Sardinia, Western Roman Empire",Italy,
47,Simplicius,Simplicius,1,Saint,0430-06-30T00:00:00Z,0468-03-03T00:00:00Z,0483-03-10T00:00:00Z,37.6755646817248,52.6926762491444,15.0191256830601,,Tibur,Italy,
48,Felix III,Felix,3,Saint,0440-06-30T00:00:00Z,0483-03-13T00:00:00Z,0492-03-01T00:00:00Z,42.6995208761123,51.668720054757,8.9672131147541,,Rome,Italy,Great-great-grandfather of pope Gregory I.
49,Gelasius I,Gelasius,1,Saint,0410-06-30T00:00:00Z,0492-03-01T00:00:00Z,0496-11-21T00:00:00Z,81.6700889801506,86.3956194387406,4.72602739726027,,Africa,Algeria,"of Berber descent. the last pope to have been born on the continent of Africa. The first pope called the ""Vicar of Christ"""
50,Anastasius II,Anastasius,2,NA,0445-06-30T00:00:00Z,0496-11-24T00:00:00Z,0498-11-19T00:00:00Z,51.4031485284052,53.388090349076,1.98630136986301,,Rome,Italy,of Greek descent. Earliest pope not canonized by either the Latin Church or the Eastern Church. 
51,Symmachus,Symmachus,1,Saint,0460-06-30T00:00:00Z,0498-11-22T00:00:00Z,0514-07-19T00:00:00Z,38.3956194387406,54.0479123887748,15.6547945205479,,Sardinia,Italy,
52,Hormisdas,Hormisdas,1,Saint,0450-06-30T00:00:00Z,0514-07-20T00:00:00Z,0523-08-06T00:00:00Z,64.0520191649555,73.09787816564,9.04644808743169,,Frusino,Italy,
53,John I,John,1,Saint,0470-06-30T00:00:00Z,0523-08-13T00:00:00Z,0526-05-18T00:00:00Z,53.1170431211499,55.8795345653662,2.76164383561644,,Tuscany,Italy,
54,Felix IV,Felix,4,Saint,0490-06-30T00:00:00Z,0526-07-12T00:00:00Z,0530-09-22T00:00:00Z,36.0301163586585,40.227241615332,4.1972602739726,,Samnium,Italy,
55,Boniface II,Boniface,2,NA,0490-06-30T00:00:00Z,0530-09-22T00:00:00Z,0532-10-17T00:00:00Z,40.227241615332,42.2970568104038,2.06849315068493,,Rome to Ostrogoth parents,Italy,First Germanic pope. Changed the numbering of the years in the Julian Calendar from the Era of the Martyrs to Anno Domini. 
56,John II,John,2,NA,0473-06-30T00:00:00Z,0533-01-02T00:00:00Z,0535-05-08T00:00:00Z,59.5071868583162,61.8507871321013,2.34520547945206,Mercurius,Rome,Italy,First pope not to use his personal name
57,Agapetus I,Agapetus,1,Saint,0490-06-30T00:00:00Z,0535-05-13T00:00:00Z,0536-04-22T00:00:00Z,44.8651608487337,45.8097193702943,0.942622950819672,,"Rome, Ostrogothic Kingdom",Italy,
58,Silverius,Silverius,1,Saint,0480-06-30T00:00:00Z,0536-06-08T00:00:00Z,0537-03-11T00:00:00Z,55.937029431896,56.6926762491444,0.756164383561644,,Campania,Italy,Son of Pope Hormisdas before he became a priest.
59,Vigilius,Vigilius,1,NA,0500-06-30T00:00:00Z,0537-03-29T00:00:00Z,0555-06-07T00:00:00Z,36.7446954140999,54.9349760438056,18.1912568306011,,Rome,Italy,
60,Pelagius I,Pelagius,1,NA,0505-06-30T00:00:00Z,0556-04-16T00:00:00Z,0561-03-04T00:00:00Z,50.7953456536619,55.6769336071184,4.88219178082192,,Rome,Italy,
61,John III,John,3,NA,0520-06-30T00:00:00Z,0561-07-17T00:00:00Z,0574-07-13T00:00:00Z,41.0458590006845,54.0342231348392,12.9890410958904,Catelinus,"Rome, Eastern Roman Empire",Italy,Second Pope not to use his personal name. 
62,Benedict I,Benedict,1,NA,0525-06-30T00:00:00Z,0575-06-02T00:00:00Z,0579-07-30T00:00:00Z,49.9219712525667,54.0807665982204,4.15846994535519,,Rome,Italy,
63,Pelagius II,Pelagius,2,NA,0520-06-30T00:00:00Z,0579-11-26T00:00:00Z,0590-02-07T00:00:00Z,59.4058863791923,69.6071184120466,10.2,,Rome,Italy,
64,Gregory I,Gregory,1,Saint,0540-06-30T00:00:00Z,0590-09-03T00:00:00Z,0604-03-12T00:00:00Z,50.17659137577,63.6960985626283,13.5218579234973,,Rome,Italy,Great-great-grandson of pope Felix III.
65,Sabinian,Sabinian,1,NA,0530-06-30T00:00:00Z,0604-09-13T00:00:00Z,0606-02-22T00:00:00Z,74.2039698836413,75.64681724846,1.44383561643836,,Blera,Italy,
66,Boniface III,Boniface,3,NA,0540-06-30T00:00:00Z,0607-02-19T00:00:00Z,0607-11-12T00:00:00Z,66.6365503080082,67.3648186173854,0.728767123287671,,Rome,Italy,of Greek descent. 
67,Boniface IV,Boniface,4,Saint,0550-06-30T00:00:00Z,0608-09-15T00:00:00Z,0615-05-08T00:00:00Z,58.2094455852156,64.8514715947981,6.64383561643836,,Marsi,Italy,First Pope to bear the same name as his predecessor. Member of the Order of Saint Benedict.
68,Adeodatus I,Adeodatus,1,Saint,0570-06-30T00:00:00Z,0615-11-13T00:00:00Z,0618-11-08T00:00:00Z,45.3689253935661,48.3559206023272,2.98630136986301,,Rome,Italy,"The first pope to use lead seals on papal documents, which in time came to be called papal bulls. "
69,Boniface V,Boniface,5,NA,0575-06-30T00:00:00Z,0619-12-23T00:00:00Z,0625-10-25T00:00:00Z,44.4791238877481,50.3189596167009,5.83835616438356,,Naples,Italy,
70,Honorius I,Honorius,1,NA,0585-06-30T00:00:00Z,0625-10-27T00:00:00Z,0638-10-12T00:00:00Z,40.3230663928816,53.2813141683778,12.958904109589,,"Campania, Byzantine Empire",Italy,
71,Severinus,Severinus,1,NA,0585-06-30T00:00:00Z,0640-05-28T00:00:00Z,0640-08-02T00:00:00Z,54.9075975359343,55.088295687885,0.180821917808219,,Rome,Italy,
72,John IV,John,4,NA,0587-06-30T00:00:00Z,0640-12-24T00:00:00Z,0642-10-12T00:00:00Z,53.4839151266256,55.2826830937714,1.8,,"Iadera, Dalmatia","Zadar, Croatia",
73,Theodore I,Theodore,1,NA,0610-06-30T00:00:00Z,0642-11-24T00:00:00Z,0649-05-14T00:00:00Z,32.4024640657084,38.8720054757016,6.46849315068493,,Jerusalem,Israel,of Greek ethnicity. The last pope from Palestine. the only pope to have been a native of Jerusalem.
