number,name_full,suffix,canonization,birth,start,end,age_start,age_end,tenure,gap_from_previous
173,Gregory VIII,8,NA,1100-06-30T00:00:00Z,1187-10-21T00:00:00Z,1187-12-17T00:00:00Z,87,87,0.155737704918033,102.403832991102
227,Sixtus V,5,NA,1521-12-13T00:00:00Z,1585-04-24T00:00:00Z,1590-08-27T00:00:00Z,63,68,5.34246575342466,100.695414099932
230,Innocent IX,9,NA,1519-07-20T00:00:00Z,1591-10-29T00:00:00Z,1591-12-30T00:00:00Z,72,72,0.169398907103825,99.2580424366872
142,Sergius IV,4,NA,0970-06-30T00:00:00Z,1009-07-31T00:00:00Z,1012-05-12T00:00:00Z,39,41,2.78142076502732,98.2943189596167
200,Urban V,5,Blessed,1309-06-30T00:00:00Z,1362-09-28T00:00:00Z,1370-12-19T00:00:00Z,53,61,8.22465753424658,97.9849418206708
201,Gregory XI,11,NA,1329-06-30T00:00:00Z,1370-12-30T00:00:00Z,1378-03-27T00:00:00Z,41,48,7.23835616438356,94.9678302532512
50,Anastasius II,2,NA,0445-06-30T00:00:00Z,0496-11-24T00:00:00Z,0498-11-19T00:00:00Z,51,53,1.98630136986301,94.9322381930185
177,Honorius III,3,NA,1148-06-30T00:00:00Z,1216-07-18T00:00:00Z,1227-03-18T00:00:00Z,68,78,10.6657534246575,86.425735797399
170,Alexander III,3,NA,1100-06-30T00:00:00Z,1159-09-07T00:00:00Z,1181-08-30T00:00:00Z,59,81,21.9780821917808,86.3764544832307
172,Urban III,3,NA,1120-06-30T00:00:00Z,1185-11-25T00:00:00Z,1187-10-20T00:00:00Z,65,67,1.9013698630137,86.3244353182752
203,Boniface IX,9,NA,1348-06-30T00:00:00Z,1389-11-02T00:00:00Z,1404-10-01T00:00:00Z,41,56,14.9125683060109,86.0616016427105
101,Gregory IV,4,NA,0790-06-30T00:00:00Z,0827-12-20T00:00:00Z,0844-01-25T00:00:00Z,37,53,16.0983606557377,86.0588637919233
152,Leo IX,9,Saint,1002-07-21T00:00:00Z,1049-02-12T00:00:00Z,1054-04-19T00:00:00Z,46,51,5.18082191780822,83.9507186858316
232,Leo XI,11,NA,1535-06-02T00:00:00Z,1605-04-01T00:00:00Z,1605-04-27T00:00:00Z,69,69,0.0712328767123288,83.3319644079398
265,Benedict XVI,16,NA,1927-04-16T00:00:00Z,2005-04-19T00:00:00Z,2013-02-28T00:00:00Z,78,85,7.86301369863014,83.2388774811773
213,Innocent VIII,8,NA,1432-06-30T00:00:00Z,1484-08-29T00:00:00Z,1492-07-25T00:00:00Z,52,60,7.90437158469945,77.8124572210814
199,Innocent VI,6,NA,1282-06-30T00:00:00Z,1352-12-18T00:00:00Z,1362-09-12T00:00:00Z,70,80,9.73424657534247,76.4873374401095
66,Boniface III,3,NA,0540-06-30T00:00:00Z,0607-02-19T00:00:00Z,0607-11-12T00:00:00Z,66,67,0.728767123287671,74.3381245722108
183,Clement IV,4,NA,1190-11-23T00:00:00Z,1265-02-05T00:00:00Z,1268-11-29T00:00:00Z,74,78,3.81420765027322,73.8836413415469
182,Urban IV,4,NA,1195-06-30T00:00:00Z,1261-08-29T00:00:00Z,1264-10-02T00:00:00Z,66,69,3.09315068493151,73.8590006844627
181,Alexander IV,4,NA,1199-06-30T00:00:00Z,1254-12-12T00:00:00Z,1261-05-25T00:00:00Z,55,61,6.44931506849315,73.284052019165
106,Adrian II,2,NA,0792-06-30T00:00:00Z,0867-12-14T00:00:00Z,0872-12-14T00:00:00Z,75,80,5,71.9671457905544
