number,name_full,canonization,birth,start,end,age_start,age_end,tenure
234,Gregory XV,,1554-01-09T00:00:00Z,1621-02-09T00:00:00Z,1623-07-08T00:00:00Z,67.0869353922394,69.4935556513823,2.40821917808219
238,Clement IX,,1600-01-28T00:00:00Z,1667-06-20T00:00:00Z,1669-12-09T00:00:00Z,67.39358097702211,69.86591100433273,2.47123287671233
32,Miltiades,Saint,0270-06-30T00:00:00Z,0311-07-02T00:00:00Z,0314-01-10T00:00:00Z,41.00289533665989,43.52998350411029,2.52602739726027
79,Agatho,Saint,0577-06-30T00:00:00Z,0678-06-27T00:00:00Z,0681-01-10T00:00:00Z,100.9904378597781,103.53121556226344,2.53972602739726
104,Benedict III,,0810-06-30T00:00:00Z,0855-09-29T00:00:00Z,0858-04-17T00:00:00Z,45.249389104499066,47.79838052800537,2.54794520547945
86,John VII,,0655-06-30T00:00:00Z,0705-03-01T00:00:00Z,0707-10-18T00:00:00Z,49.66837101377852,52.29949964749447,2.63114754098361
155,Nicholas II,,0980-06-30T00:00:00Z,1058-12-06T00:00:00Z,1061-07-27T00:00:00Z,78.43282202919978,81.0721643839367,2.63835616438356
188,Nicholas III,,1216-06-30T00:00:00Z,1277-11-25T00:00:00Z,1280-08-22T00:00:00Z,61.405778352738245,64.14642326673375,2.74043715846995
53,John I,Saint,0470-06-30T00:00:00Z,0523-08-13T00:00:00Z,0526-05-18T00:00:00Z,53.11813384258404,55.88068201263544,2.76164383561644
142,Sergius IV,,0970-06-30T00:00:00Z,1009-07-31T00:00:00Z,1012-05-12T00:00:00Z,39.08362252476095,41.86533604386127,2.78142076502732
138,Gregory V,,0972-06-30T00:00:00Z,0996-05-03T00:00:00Z,0999-02-18T00:00:00Z,23.841694216855924,26.63709727099119,2.7972602739726
75,Eugene I,Saint,0615-06-30T00:00:00Z,0654-08-10T00:00:00Z,0657-06-02T00:00:00Z,39.11373950183782,41.92556999801501,2.81095890410959
244,Innocent XIII,,1655-05-13T00:00:00Z,1721-05-08T00:00:00Z,1724-03-07T00:00:00Z,65.98629677543002,68.81729262065613,2.83060109289618
68,Adeodatus I,Saint,0570-06-30T00:00:00Z,0615-11-13T00:00:00Z,0618-11-08T00:00:00Z,45.36985701280656,48.35691355743102,2.98630136986301
